motif,score
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,0.6172847546006788
different camps,1.2345695092013576
different camps,0.6172847546006788
